stn,year,month,day,temp,slp
722970,2016,01,22,58.7,1020.0
722874,2016,03,10,63.2,1016.6
722950,2016,04,26,59.3,1013.9
722874,2016,09,05,67.9,1008.7
722874,2016,07,04,67.4,1016.5
722874,2016,01,12,55.2,1022.9
722874,2016,11,06,63.5,1016.3
722874,2016,07,21,77.8,1013.0
722874,2016,06,05,62.8,1012.4
722874,2016,06,02,68.5,1013.4
722874,2016,02,25,68.4,1017.1
722874,2016,07,15,70.1,1013.8
722874,2016,06,25,70.9,1010.9
722874,2016,06,21,79.4,1012.2
722874,2016,04,25,61.7,1011.1
722874,2016,08,15,75.5,1010.8
722874,2016,06,01,66.3,1012.0
722874,2016,08,23,71.2,1014.5
722874,2016,07,01,71.6,1011.5
722874,2016,08,01,74.4,1012.8
722874,2016,03,16,68.4,1013.2
722874,2016,03,14,61.6,1019.6
722874,2016,05,31,64.3,1011.7
722874,2016,12,11,61.2,1019.2
722874,2016,06,15,65.5,1013.3
722874,2016,07,07,69.7,1013.8
722874,2016,05,23,63.9,1013.3
722874,2016,08,14,74.5,1010.9
722874,2016,05,17,65.3,1012.3
722874,2016,09,22,70.9,1011.1
722874,2016,11,22,60.1,1018.2
722874,2016,12,07,55.8,1017.0
722874,2016,05,11,63.3,1015.7
722874,2016,02,28,61.9,1015.4
722874,2016,05,18,64.7,1014.4
722874,2016,01,27,60.4,1023.6
722874,2016,09,24,73.1,1014.5
722874,2016,06,28,74.0,1012.9
722874,2016,01,11,55.6,1023.5
722874,2016,02,04,55.8,1026.4
722874,2016,03,07,55.9,1012.6
722874,2016,03,30,57.1,1013.8
722874,2016,03,19,62.2,1015.3
722874,2016,05,03,65.2,1014.1
722874,2016,07,20,75.1,1013.7
722874,2016,06,24,69.1,1013.0
722874,2016,07,12,71.7,1011.9
722874,2016,11,14,72.0,1017.8
722874,2016,04,17,72.4,1014.6
722874,2016,01,30,60.1,1015.6
722874,2016,09,20,78.2,1013.8
722874,2016,06,13,64.7,1018.5
722874,2016,03,31,58.6,1016.5
722874,2016,01,02,54.8,1018.5
722874,2016,01,17,57.8,1021.0
722874,2016,11,15,65.6,1016.9
722874,2016,01,16,59.3,1020.7
722874,2016,07,08,69.8,1014.1
722874,2016,08,16,72.8,1010.6
722874,2016,02,20,59.7,1018.6
722874,2016,01,15,56.6,1018.1
722874,2016,12,04,55.6,1017.4
722874,2016,09,15,68.0,1015.2
722874,2016,05,19,64.6,1013.2
722874,2016,11,07,64.7,1017.5
722874,2016,12,06,58.4,1014.5
722874,2016,12,08,56.6,1021.8
722874,2016,12,19,53.4,1022.9
722874,2016,08,29,73.0,1013.5
722874,2016,03,24,66.1,1018.5
722874,2016,10,04,67.8,1011.7
722950,2016,07,22,75.0,1012.9
722950,2016,03,13,56.8,1021.1
722950,2016,07,06,67.8,1015.0
722950,2016,01,27,61.5,1023.7
722950,2016,03,03,59.8,1018.1
722950,2016,05,25,60.9,1017.8
722950,2016,02,05,60.5,1025.0
722950,2016,12,06,58.6,1014.6
722950,2016,10,21,78.0,1011.1
722950,2016,06,23,68.0,1013.9
722950,2016,01,15,55.5,1018.4
722950,2016,07,01,69.8,1011.8
